Name,Link,Type
What Makes Bridges So Strong?,https://www.youtube.com/watch?v=oVOnRPefcno&list=PLgaXfBx2IqGMg4_3oHkv2d-mZjQGTpN87&index=3,Architecture 
ArtQuest: Art is All Around,https://www.youtube.com/watch?v=ZT56OgvPv-A&list=PLgaXfBx2IqGMg4_3oHkv2d-mZjQGTpN87&index=17,Architecture 
I Want To Be An Architect! - Kids Dream Jobs,https://www.youtube.com/watch?v=zvewCudtFZs,Architecture 
Architecture Adventure,https://www.youtube.com/watch?v=DkJLbCCI6Zs&list=PLaSegn4AdJAxRvPaBaaFrRq7vhtEg3Z3i&index=1&t=101s,Architecture 
Taj Mahal History and Architecture,https://www.youtube.com/watch?v=v1GShoW1Ez4&t=16s,Architecture 
The Engineer Song,https://www.youtube.com/watch?v=Ra7Bax6rGoQ,Architecture 
Art @ Home: Recycled Architecture,https://www.youtube.com/watch?v=3JNSYzmN3N4,Architecture 
Building Villa from Recycled Materials,https://www.youtube.com/watch?v=l-r5XtnWsKA,Architecture 
3D Playdough and Toothpick Shapes,https://www.youtube.com/watch?v=bhChx4VfBCY,DIY
Fun Activities to do with your kids - Bottle Wrapper,https://www.youtube.com/watch?v=eRQ_ciKX-5w,DIY
DIY Fidget toy! Viral TikTok fidget toys,https://www.youtube.com/watch?v=7qnTGoBTc4k,DIY
Sleeping Bear - DIY Cool Animation Game for Kids,https://www.youtube.com/watch?v=ruMQ09qBgCw,DIY
Cool facts about skyscrapers explained with LEGO bricks,https://www.youtube.com/watch?v=tOU7g7phoOg&list=PLgaXfBx2IqGMg4_3oHkv2d-mZjQGTpN87&index=1,Lego 
5 Fun Play Ideas for Kids to Learn with LEGO DUPLO Bricks,https://www.youtube.com/watch?v=4cJ0xcL-lOc,Lego 
How To Make Easy Paper House For Kids,https://www.youtube.com/watch?v=2hcLN7OXCF0,Paper craft
How To Make Moving Paper ROBOT Toy For Kids,https://www.youtube.com/watch?v=4U_5Nw7WrL8,Paper craft
How To Make Easy Paper House For Kids,https://youtu.be/2hcLN7OXCF0,Paper craft
How to Make Origami Paper Building with Paper,https://www.youtube.com/watch?v=_YwM7bdy8R0,Paper craft
How to Demonstrate Engineering Principles,https://www.youtube.com/watch?v=y6FmrOS72EA&list=PLgaXfBx2IqGMg4_3oHkv2d-mZjQGTpN87&index=13,Science project
Walking Water Science Experiments for Kids!!!,https://www.youtube.com/watch?v=hGwG--GZEfw,Science project